% Model:              on_off_off.mph
% Version:            COMSOL 6.3.0.335
% Date:               Feb 7 2025, 00:12
% Table:              Table 9 - Global Evaluation 2
% k (1/m)                                         Eigenfrequency (Hz)                               Frequency (Hz)                                    p_ax (1)                                          p_tr (1)
0                                                 0.044351323493016556i                             0.044351323493016556i                             NaN                                               NaN
0                                                 0.046962923465486285                              0.046962923465486285                              NaN                                               NaN
0                                                 1871.379836438825                                 1871.379836438825                                 NaN                                               NaN
0                                                 1912.13954891713                                  1912.13954891713                                  NaN                                               NaN
0                                                 9309.396052155556                                 9309.396052155556                                 NaN                                               NaN
0                                                 10414.180990919916                                10414.180990919916                                NaN                                               NaN
0                                                 19663.979914641666                                19663.979914641666                                NaN                                               NaN
0                                                 24306.018177700444                                24306.018177700444                                NaN                                               NaN
0                                                 37910.600691060674                                37910.600691060674                                NaN                                               NaN
0                                                 38973.56290431408                                 38973.56290431408                                 NaN                                               NaN
0                                                 40218.462223196155                                40218.462223196155                                NaN                                               NaN
0                                                 41888.97627504729                                 41888.97627504729                                 NaN                                               NaN
0                                                 56681.79125800013                                 56681.79125800013                                 NaN                                               NaN
0                                                 57451.460808822296                                57451.460808822296                                NaN                                               NaN
0                                                 75465.2642583547                                  75465.2642583547                                  NaN                                               NaN
0                                                 79412.1774188371                                  79412.1774188371                                  NaN                                               NaN
0                                                 83348.17014390203                                 83348.17014390203                                 NaN                                               NaN
0                                                 87190.0398689703                                  87190.0398689703                                  NaN                                               NaN
0                                                 97796.36467099455                                 97796.36467099455                                 NaN                                               NaN
0                                                 101000.24232392386                                101000.24232392386                                NaN                                               NaN
0.8814794201991561                                75454.31451139213-5.416322734218957E-5i           75454.31451139213-5.416322734218957E-5i           0.07243307032700139                               0.9275669296729968
0.8814794201991561                                79423.09671933463-3.62474126459153E-4i            79423.09671933463-3.62474126459153E-4i            0.11886157206002063                               0.8811384279399794
0.8814794201991561                                83312.51096625508-3.519702757882861E-4i           83312.51096625508-3.519702757882861E-4i           0.9964994998748169                                0.003500500125182117
0.8814794201991561                                87226.59146425454-1.1718170429361788E-4i          87226.59146425454-1.1718170429361788E-4i          0.99595714121339                                  0.004042858786609607
0.8814794201991561                                97783.93719251042-7.642770378307928E-4i           97783.93719251042-7.642770378307928E-4i           0.10723857767945856                               0.8927614223205412
0.8814794201991561                                101012.28127454093+2.3575727057240734E-5i         101012.28127454093+2.3575727057240734E-5i         0.11976572970729715                               0.8802342702927024
1.3222191302987343                                0.42692914581806485+4.9876129656353464E-8i        0.42692914581806485+4.9876129656353464E-8i        1.276967521785314E-6                              0.9999987230324776
1.3222191302987343                                609.8391013090163+1.5748190192444076E-11i         609.8391013090163+1.5748190192444076E-11i         0.9999998923049642                                1.0769503608843161E-7
1.3222191302987343                                1832.4119121758008+6.239663051750633E-8i          1832.4119121758008+6.239663051750633E-8i          0.006413269355165199                              0.9935867306448345
1.3222191302987343                                1951.7246955943208+1.1791555092694126E-7i         1951.7246955943208+1.1791555092694126E-7i         0.006979244138012673                              0.9930207558619865
1.3222191302987343                                9292.584171940454+5.9265606315603065E-6i          9292.584171940454+5.9265606315603065E-6i          0.022349086115586662                              0.9776509138844129
1.3222191302987343                                10432.450467341294+7.036268939494034E-6i          10432.450467341294+7.036268939494034E-6i          0.02007775998863989                               0.9799222400113599
1.3222191302987343                                19654.66855099718-5.915097125434615E-5i           19654.66855099718-5.915097125434615E-5i           0.054560840437639174                              0.9454391595623602
1.3222191302987343                                24316.2860239962-1.1281242844414354E-4i           24316.2860239962-1.1281242844414354E-4i           0.029080747143661517                              0.9709192528563391
1.3222191302987343                                37850.71723807046+2.571123192638102E-5i           37850.71723807046+2.571123192638102E-5i           0.06681418098775359                               0.933185819012245
1.3222191302987343                                39034.27031954495+3.793229292702116E-7i           39034.27031954495+3.793229292702116E-7i           0.05439695847906472                               0.9456030415209352
1.3222191302987343                                40008.109880003016+2.7420880475960446E-5i         40008.109880003016+2.7420880475960446E-5i         0.9993559030473613                                6.440969526385285E-4
1.3222191302987343                                42096.912079302034-6.989962553149083E-5i          42096.912079302034-6.989962553149083E-5i          0.9991311571653313                                8.688428346691067E-4
1.3222191302987343                                56580.43285594996-6.233656881279566E-5i           56580.43285594996-6.233656881279566E-5i           0.08832311546503828                               0.911676884534962
1.3222191302987343                                57553.170205922535-1.982463296377869E-5i          57553.170205922535-1.982463296377869E-5i          0.06702341609090046                               0.932976583909099
1.3222191302987343                                75440.71195217587-1.3334515138213997E-4i          75440.71195217587-1.3334515138213997E-4i          0.07258038976396393                               0.9274196102360375
1.3222191302987343                                79436.65477716345+2.151079797308358E-4i           79436.65477716345+2.151079797308358E-4i           0.11871490425408861                               0.881285095745912
1.3222191302987343                                83268.86057619342+1.5434671115183315E-5i          83268.86057619342+1.5434671115183315E-5i          0.9965001252012479                                0.0034998747987523625
1.3222191302987343                                87271.35778186547-1.3675515996059681E-5i          87271.35778186547-1.3675515996059681E-5i          0.9959558221864876                                0.004044177813512681
1.3222191302987343                                97768.53578031309+2.634113263606897E-4i           97768.53578031309+2.634113263606897E-4i           0.1073090753524796                                0.8926909246475199
